dep_temp_C,prec_temp_C,x_cm,y_cm,thickness_nm,refractive_index,wer_A_min
150,70,-1.5,6,13.9,2.16,3.6
150,70,1.5,6,13.7,2.17,3.7
150,70,0,4.5,13.9,2.17,3.6
150,75,0,10.5,14.3,2.15,4.1
150,75,-1.5,9,13.9,2.14,4.0
150,75,1.5,9,13.8,2.14,3.8
150,75,-3,7.5,13.3,2.16,3.7
150,75,0,7.5,13.3,2.15,3.6
150,75,3,7.5,13.4,2.15,4.0
150,75,-1.5,6,13.3,2.16,3.7
150,75,1.5,6,13.2,2.15,3.8
150,75,0,4.5,13.1,2.15,3.7
175,55,0,10.5,4.4,2.46,6.6
175,55,-1.5,9,9.2,2.21,3.6
175,55,1.5,9,6.8,2.31,4.2
175,55,-3,7.5,10.4,2.2,5.2
175,55,0,7.5,12.3,2.17,4.0
175,55,3,7.5,5.8,2.36,5.7
175,55,-1.5,6,12.4,2.18,4.0
175,55,1.5,6,12.3,2.16,4.0
175,55,0,4.5,12.3,2.17,3.9
175,60,0,10.5,13.1,2.14,3.8
175,60,-1.5,9,13.5,2.14,3.9
175,60,1.5,9,12.9,2.15,3.7
175,60,-3,7.5,12.0,2.17,3.5
175,60,0,7.5,12.5,2.16,3.7
175,60,3,7.5,12.4,2.17,3.7
175,60,-1.5,6,12.0,2.16,3.6
175,60,1.5,6,12.3,2.17,3.6
175,60,0,4.5,12.0,2.17,3.4
175,65,0,10.5,13.4,2.16,4.0
175,65,-1.5,9,13.5,2.15,4.2
175,65,1.5,9,13.3,2.16,3.7
175,65,-3,7.5,12.4,2.17,3.9
175,65,0,7.5,12.5,2.17,3.9
175,65,3,7.5,12.7,2.18,3.9
175,65,-1.5,6,12.3,2.17,3.5
175,65,1.5,6,12.2,2.18,3.6
175,65,0,4.5,12.2,2.18,3.3
175,70,0,10.5,13.7,2.16,3.9
175,70,-1.5,9,14.0,2.16,3.9
175,70,1.5,9,13.6,2.17,4.0
175,70,-3,7.5,12.8,2.17,3.6
175,70,0,7.5,12.7,2.17,3.6
175,70,3,7.5,12.9,2.17,3.9
175,70,-1.5,6,12.7,2.18,3.6
175,70,1.5,6,12.8,2.17,3.6
175,70,0,4.5,12.6,2.17,3.4
175,75,0,10.5,13.3,2.15,4.2
175,75,-1.5,9,13.1,2.17,4.1
175,75,1.5,9,13.2,2.17,3.6
175,75,-3,7.5,13.0,2.16,3.6
175,75,0,7.5,12.9,2.17,3.8
175,75,3,7.5,13.0,2.16,3.5
175,75,-1.5,6,12.8,2.17,4.0
175,75,1.5,6,12.9,2.16,3.5
175,75,0,4.5,12.7,2.17,3.5
200,55,0,10.5,8.0,2.24,5.1
200,55,-1.5,9,10.6,2.13,4.4
200,55,1.5,9,11.0,2.12,5.3
200,55,-3,7.5,12.0,2.16,4.0
200,55,0,7.5,12.4,2.16,4.1
200,55,3,7.5,11.1,2.14,3.7
200,55,-1.5,6,12.4,2.15,4.1
200,55,1.5,6,12.2,2.14,3.8
200,55,0,4.5,12.4,2.15,3.8
200,60,0,10.5,12.9,2.17,2.6
200,60,-1.5,9,13.2,2.17,2.8
200,60,1.5,9,13.0,2.17,2.6
200,60,-3,7.5,12.1,2.19,2.1
200,60,0,7.5,12.0,2.19,2.2
200,60,3,7.5,12.2,2.18,2.7
200,60,-1.5,6,11.9,2.18,2.5
200,60,1.5,6,11.9,2.19,2.6
200,60,0,4.5,11.9,2.18,2.4
200,65,0,10.5,12.6,2.17,3.2
200,65,-1.5,9,12.9,2.18,3.2
200,65,1.5,9,12.7,2.17,2.9
200,65,-3,7.5,11.7,2.19,2.8
200,65,0,7.5,11.8,2.19,3.0
200,65,3,7.5,11.9,2.18,2.8
200,65,-1.5,6,11.6,2.18,2.7
200,65,1.5,6,11.6,2.2,2.7
200,65,0,4.5,11.5,2.19,2.5
200,70,0,10.5,12.9,2.17,2.9
200,70,-1.5,9,13.1,2.17,2.1
200,70,1.5,9,12.9,2.17,2.8
200,70,-3,7.5,12.2,2.18,2.5
200,70,0,7.5,12.1,2.19,2.5
200,70,3,7.5,12.3,2.18,0.29
200,70,-1.5,6,12.1,2.18,2.8
200,70,1.5,6,12.0,2.19,2.6
200,70,0,4.5,12.0,2.19,2.2
200,75,0,10.5,12.6,2.16,2.9
200,75,-1.5,9,12.4,2.17,2.2
200,75,1.5,9,12.5,2.17,2.4
200,75,-3,7.5,11.8,2.18,2.6
200,75,0,7.5,11.8,2.18,2.6
200,75,3,7.5,12.0,2.18,2.8
200,75,-1.5,6,11.9,2.18,2.4
200,75,1.5,6,11.8,2.18,2.0
200,75,0,4.5,11.7,2.19,2.6
225,55,0,10.5,10.8,2.19,4.1
225,55,-1.5,9,11.4,2.2,4.0
225,55,1.5,9,11.3,2.19,4.4
225,55,-3,7.5,11.1,2.2,4.3
225,55,0,7.5,11.2,2.2,4.4
225,55,3,7.5,10.8,2.18,4.4
225,55,-1.5,6,11.3,2.21,4.3
225,55,1.5,6,11.2,2.21,4.2
225,55,0,4.5,11.2,2.2,2.9
225,60,0,10.5,12.3,2.17,3.2
225,60,-1.5,9,13.0,2.16,2.8
225,60,1.5,9,12.6,2.17,2.5
225,60,-3,7.5,11.8,2.18,2.5
225,60,0,7.5,12.0,2.19,2.6
225,60,3,7.5,11.5,2.19,1.8
225,60,-1.5,6,11.6,2.18,2.5
225,60,1.5,6,11.6,2.17,2.4
225,60,0,4.5,11.5,2.18,2.5
225,65,0,10.5,11.9,2.19,2.9
225,65,-1.5,9,12.1,2.18,2.8
225,65,1.5,9,12.1,2.18,0.3
225,65,-3,7.5,11.2,2.19,2.8
225,65,0,7.5,11.2,2.2,2.8
225,65,3,7.5,11.4,2.2,0.3
225,65,-1.5,6,11.1,2.19,2.7
225,65,1.5,6,11.0,2.2,2.7
225,65,0,4.5,11.0,2.2,2.6
225,70,0,10.5,12.6,2.19,0.24
225,70,-1.5,9,12.1,2.19,2.7
225,70,1.5,9,12.6,2.19,2.7
225,70,-3,7.5,11.4,2.2,2.5
225,70,0,7.5,11.6,2.19,2.6
225,70,3,7.5,11.4,2.2,2.0
225,70,-1.5,6,11.6,2.19,2.8
225,70,1.5,6,11.6,2.2,2.9
225,70,0,4.5,11.5,2.2,2.5
225,75,0,10.5,12.1,2.19,2.8
225,75,-1.5,9,12.1,2.19,2.7
225,75,1.5,9,11.7,2.2,2.7
225,75,-3,7.5,11.3,2.2,2.6
225,75,0,7.5,11.4,2.21,2.7
225,75,3,7.5,11.4,2.19,2.6
225,75,-1.5,6,11.2,2.2,2.6
225,75,1.5,6,11.4,2.19,2.7
225,75,0,4.5,11.2,2.21,2.5
250,55,0,10.5,9.8,2.17,4.5
250,55,-1.5,9,11.7,2.16,3.3
250,55,1.5,9,11.5,2.16,3.4
250,55,-3,7.5,10.7,2.18,3.0
250,55,0,7.5,11.1,2.17,3.2
250,55,3,7.5,10.6,2.16,3.4
250,55,-1.5,6,11.0,2.16,3.2
250,55,1.5,6,10.9,2.18,3.7
250,55,0,4.5,11.1,2.18,3.3
250,60,0,10.5,11.5,2.18,2.7
250,60,-1.5,9,12.3,2.17,3.0
250,60,1.5,9,12.1,2.16,3.1
250,60,-3,7.5,11.2,2.18,3.2
250,60,0,7.5,11.2,2.17,2.8
250,60,3,7.5,11.4,2.18,2.8
250,60,-1.5,6,11.0,2.19,2.6
250,60,1.5,6,11.0,2.18,2.8
250,60,0,4.5,10.9,2.19,2.7
250,65,0,10.5,11.3,2.19,0.3
250,65,-1.5,9,11.6,2.19,3.2
250,65,1.5,9,11.4,2.18,2.9
250,65,-3,7.5,10.7,2.2,3.1
250,65,0,7.5,10.7,2.2,2.9
250,65,3,7.5,10.9,2.21,3.0
250,65,-1.5,6,10.6,2.2,2.9
250,65,1.5,6,10.6,2.21,2.9
250,65,0,4.5,10.6,2.21,2.8
250,70,0,10.5,11.6,2.2,2.5
250,70,-1.5,9,11.8,2.2,2.5
250,70,1.5,9,11.3,2.2,2.5
250,70,-3,7.5,10.9,2.21,2.6
250,70,0,7.5,11.0,2.19,2.9
250,70,3,7.5,10.9,2.22,2.6
250,70,-1.5,6,10.7,2.21,2.4
250,70,1.5,6,10.8,2.2,2.5
250,70,0,4.5,10.7,2.21,2.5
250,75,0,10.5,11.1,2.2,2.4
250,75,-1.5,9,11.1,2.19,2.6
250,75,1.5,9,11.0,2.19,2.3
250,75,-3,7.5,10.5,2.2,1.5
250,75,0,7.5,10.5,2.22,2.2
250,75,3,7.5,10.5,2.21,2.4
250,75,-1.5,6,10.5,2.21,2.3
250,75,1.5,6,10.5,2.21,2.4
250,75,0,4.5,10.4,2.21,2.2
